#Year	DOY	hour	Btot	Br	Bt	Bn	Np	Vtot	Tp
2021	266	12	20.5	14.1	6.0	-12.8	Nan	Nan	Nan
2021	266	13	20.5	12.9	7.0	-12.8	Nan	Nan	Nan
2021	266	14	13.6	12.2	0.2	1.8	Nan	Nan	Nan
2021	266	15	14.9	12.5	3.8	-0.8	Nan	Nan	Nan
2021	266	16	13.5	9.5	3.3	-3.7	Nan	Nan	Nan
2021	266	17	19.5	17.8	4.4	-5.5	Nan	Nan	Nan
2021	266	18	13.6	10.2	-0.4	-2.5	Nan	Nan	Nan
2021	266	19	14.4	6.0	0.7	-6.3	Nan	Nan	Nan
2021	266	20	25.0	15.4	-8.9	-12.2	Nan	Nan	Nan
2021	266	21	20.0	6.3	-16.5	-4.0	Nan	Nan	Nan
2021	266	22	20.7	4.7	-16.0	-9.3	Nan	Nan	Nan
2021	266	23	16.3	7.0	-10.6	-8.4	Nan	Nan	Nan
2021	267	0	20.1	6.7	-16.0	-3.6	Nan	Nan	Nan
2021	267	1	21.8	11.2	-17.6	-2.3	Nan	Nan	Nan
2021	267	2	22.4	10.5	-19.2	-0.8	Nan	Nan	Nan
2021	267	3	22.8	14.4	-16.6	0.8	Nan	Nan	Nan
2021	267	4	24.0	15.8	-17.2	2.9	Nan	Nan	Nan
2021	267	5	22.7	15.2	-16.4	1.8	Nan	Nan	Nan
2021	267	6	21.8	13.9	-15.8	4.2	Nan	Nan	Nan
2021	267	7	15.5	10.4	-7.2	3.8	Nan	Nan	Nan
2021	267	8	11.3	4.6	2.5	0.3	Nan	Nan	Nan
2021	267	9	18.1	4.0	10.8	-6.5	Nan	Nan	Nan
2021	267	10	17.8	9.1	7.3	-7.3	Nan	Nan	Nan
2021	267	11	19.5	17.3	2.9	-7.6	Nan	Nan	Nan
2021	267	12	20.7	18.3	4.3	-7.3	Nan	Nan	Nan
2021	267	13	24.3	20.3	7.9	-10.3	Nan	Nan	Nan
2021	267	14	24.8	21.9	6.4	-8.1	Nan	Nan	Nan
2021	267	15	26.9	21.6	11.5	-10.3	Nan	Nan	Nan
2021	267	16	24.1	20.7	6.9	-9.8	Nan	Nan	Nan
2021	267	17	21.0	19.1	4.4	-5.3	Nan	Nan	Nan
2021	267	18	20.1	17.3	6.1	7.7	Nan	Nan	Nan
2021	267	19	20.2	19.1	-1.7	0.8	Nan	Nan	Nan
2021	267	20	28.8	19.8	-20.0	-2.4	Nan	Nan	Nan
2021	267	21	29.2	19.9	-20.1	3.7	Nan	Nan	Nan
2021	267	22	25.5	15.7	-17.1	6.2	Nan	Nan	Nan
2021	267	23	22.5	11.1	-17.5	-3.0	Nan	Nan	Nan
