#Year	DOY	hour	Btot	Br	Bt	Bn	Np	Vtot	Tp
2021	268	0	8.6	2.8	-6.3	-4.9	8	301.0	10162
2021	268	1	8.8	3.9	-7.6	-2.1	5	304.4	5687
2021	268	2	8.2	-0.1	-4.3	-4.8	9	319.6	11845
2021	268	3	8.8	-4.8	-3.3	-6.0	8	331.4	11419
2021	268	4	7.3	4.8	-5.4	-0.6	6	316.3	8199
2021	268	5	8.9	5.8	-6.3	1.4	4	322.5	4567
2021	268	6	7.5	1.6	-6.2	-3.2	5	338.7	9191
2021	268	7	6.0	-1.6	-4.2	-2.0	7	334.2	13690
2021	268	8	4.9	-2.5	0.0	-3.4	8	344.7	14972
2021	268	9	4.9	-0.1	-2.6	-3.3	6	337.5	9892
2021	268	10	5.0	-0.6	-3.9	-2.7	5	337.0	7788
2021	268	11	4.5	1.5	-3.2	-2.6	5	330.0	7401
2021	268	12	4.7	2.0	-3.4	-2.3	5	330.0	6410
2021	268	13	5.1	3.4	-3.4	-1.5	4	327.7	5421
2021	268	14	5.5	4.2	-3.4	-0.8	5	325.8	7572
2021	268	15	5.5	3.6	-2.6	-2.1	6	324.3	7234
2021	268	16	6.0	4.8	-3.0	0.4	4	324.7	4942
2021	268	17	4.7	3.5	-0.8	1.9	6	326.5	8710
2021	268	18	5.3	1.1	-2.6	-1.9	3	366.9	4457
2021	268	19	6.2	1.6	-3.5	-4.1	3	370.2	5179
2021	268	20	6.1	2.0	-5.0	-2.0	5	358.4	9618
2021	268	21	6.3	4.1	-3.8	-1.3	7	357.8	10686
2021	268	22	7.8	-6.3	1.8	-2.9	4	358.1	6871
2021	268	23	7.9	-6.5	1.7	-3.5	5	356.5	9777
2021	269	0	7.2	-4.5	-1.4	-5.3	6	367.9	13474
2021	269	1	6.3	-3.9	-1.5	-4.6	5	364.2	11621
2021	269	2	4.3	-1.7	0.0	-3.4	6	359.4	10820
2021	269	3	4.5	-0.7	-0.2	-3.5	7	347.2	12768
2021	269	4	5.0	-0.9	-2.3	-3.6	6	340.3	9330
2021	269	5	5.5	-2.7	-1.4	-4.3	4	338.6	5881
2021	269	6	6.0	-2.8	-2.1	-4.5	3	337.5	4160
2021	269	7	3.7	-0.2	-2.6	-0.7	5	331.2	7005
