#Year	DOY	hour	Btot	Br	Bt	Bn	Np	Vtot	Tp
2021	266	0	8.2	2.9	7.1	2.1	21	337.3	51124
2021	266	1	7.2	2.1	4.4	2.1	20	334.0	66889
2021	266	2	8.4	5.2	3.2	3.9	20	338.1	69730
2021	266	3	6.6	-1.0	3.4	4.1	20	329.5	73280
2021	266	4	4.8	-2.8	0.4	-0.9	26	323.9	67543
2021	266	5	5.6	-0.3	0.6	-3.8	27	326.7	65731
2021	266	6	4.6	-2.3	1.8	-1.0	26	319.1	71713
2021	266	7	5.0	-3.6	-0.3	-0.0	26	316.3	74729
2021	266	8	7.1	-3.3	-3.4	-3.5	25	316.8	72047
2021	266	9	6.5	-3.0	-1.4	-3.3	27	316.6	76768
2021	266	10	6.8	-4.7	-2.2	-1.9	29	317.9	79569
2021	266	11	7.3	-3.7	0.1	4.1	30	321.9	82235
2021	266	12	7.6	-1.4	5.7	2.8	33	326.7	75446
2021	266	13	7.4	-1.9	5.7	-0.3	35	324.3	83203
2021	266	14	5.5	-2.8	2.0	-0.4	36	320.0	93463
2021	266	15	5.6	-1.1	1.4	-1.6	40	324.5	94181
2021	266	16	4.8	-1.4	2.9	-0.3	40	325.1	100525
2021	266	17	6.4	1.7	3.0	1.0	40	326.6	91054
2021	266	18	8.9	-0.7	7.7	-0.3	38	315.9	81946
2021	266	19	8.9	-4.9	3.4	-5.3	33	303.1	71192
2021	266	20	9.4	-7.6	0.0	-5.1	29	294.4	60873
2021	266	21	9.7	-6.2	0.4	-5.9	30	294.6	59285
2021	266	22	9.5	-1.3	-4.0	-8.1	32	297.5	55443
2021	266	23	9.8	-5.3	-3.1	-6.9	28	288.9	55292
2021	267	0	9.7	-9.1	1.7	-1.3	25	284.8	52119
2021	267	1	9.6	-8.4	2.3	-3.5	24	282.5	46031
2021	267	2	10.5	-7.4	0.9	-3.1	27	284.7	42244
2021	267	3	10.8	-8.3	-0.7	-5.9	29	283.6	40070
2021	267	4	11.7	-9.9	2.2	-4.7	22	275.5	31467
2021	267	5	12.9	-11.8	-0.8	-4.3	22	273.7	37736
2021	267	6	14.1	-12.6	-2.4	-4.3	20	272.7	46399
2021	267	7	13.8	-12.3	-3.3	-3.2	18	272.2	52699
2021	267	8	12.3	-11.4	-4.3	-1.2	11	268.7	81461
2021	267	9	11.2	-10.1	-4.3	-1.4	10	270.7	94469
2021	267	10	10.2	-8.0	-5.5	-3.1	10	267.6	89229
2021	267	11	9.3	-7.6	-3.8	-3.2	9	265.6	66632
2021	267	12	9.0	-6.8	-4.1	-3.5	10	264.0	70896
2021	267	13	9.2	-7.1	-3.9	-3.3	12	265.6	73132
2021	267	14	10.3	-8.3	-3.6	-4.3	14	265.2	60800
2021	267	15	11.8	-10.1	-5.3	0.4	13	249.9	50634
2021	267	16	10.7	-8.6	-5.5	0.1	15	247.1	53673
2021	267	17	9.2	-6.0	-4.4	-3.1	15	258.4	68649
2021	267	18	8.3	-7.2	-0.9	3.1	15	262.3	92045
2021	267	19	8.4	-6.2	1.3	3.1	14	264.2	78573
2021	267	20	8.7	-6.3	-3.2	4.3	23	252.0	80862
2021	267	21	8.4	-4.7	-4.3	1.1	24	261.3	80569
2021	267	22	7.9	-1.9	2.4	6.5	21	279.5	86049
2021	267	23	8.5	-1.3	0.8	5.8	22	278.7	87888
2021	268	0	8.4	1.7	7.3	-0.6	24	287.7	104799
2021	268	1	9.4	1.2	8.9	-0.4	20	282.6	82676
2021	268	2	9.2	-0.5	8.9	-0.0	17	278.6	72240
2021	268	3	8.6	-2.2	8.1	1.7	18	277.7	63042
2021	268	4	10.0	-2.4	9.1	-2.4	18	274.6	45074
2021	268	5	9.2	-4.8	6.4	-4.0	15	272.1	45914
2021	268	6	10.4	-6.7	5.8	-5.4	34	275.4	36432
2021	268	7	15.5	-12.5	6.5	-4.3	52	282.5	69380
2021	268	8	13.9	-8.9	9.8	-1.4	39	279.8	66756
2021	268	9	13.5	-3.6	11.1	5.5	52	286.9	37345
2021	268	10	13.3	0.7	12.6	0.3	68	292.2	32002
2021	268	11	10.9	2.0	8.1	-6.2	74	290.6	31931
2021	268	12	10.1	0.9	0.4	-8.5	58	288.1	38092
2021	268	13	14.1	-2.1	-6.6	-12.2	30	281.8	37817
2021	268	14	13.0	-1.2	-5.9	-11.0	28	278.8	38272
2021	268	15	13.5	-0.9	-5.0	-12.0	33	285.9	38345
2021	268	16	10.5	0.3	0.9	-8.5	36	278.4	69137
2021	268	17	8.1	5.1	-2.5	-5.3	34	272.7	50374
2021	268	18	11.6	9.8	-4.6	0.6	71	283.8	65394
2021	268	19	14.4	9.4	-7.4	6.0	86	304.9	70113
2021	268	20	12.7	-4.2	1.0	-3.6	57	314.8	129050
2021	268	21	12.9	-4.3	7.1	-4.4	57	330.3	165288
2021	268	22	14.0	-5.3	9.0	-4.7	55	358.7	153382
2021	268	23	17.3	-0.4	-8.9	-11.5	nan	nan	nan
2021	269	0	23.7	-10.3	17.3	-7.3	nan	nan	nan
2021	269	1	21.9	-8.5	15.6	-9.4	nan	nan	nan
2021	269	2	24.3	-7.7	6.3	-20.0	nan	nan	nan
2021	269	3	26.1	-10.1	-19.2	-12.1	73	392.0	67009
2021	269	4	18.9	-2.1	-5.6	-3.6	57	389.3	90413
2021	269	5	27.2	1.8	26.2	-5.8	18	395.1	61136
