#Year	DOY	hour	Btot	Br	Bt	Bn	Np	Vtot	Tp
2021	266	0	3.9	-2.8	0.7	2.6	2	420.2	67376
2021	266	1	3.6	-3.0	0.8	1.6	2	409.7	78263
2021	266	2	3.7	-3.3	1.1	1.2	2	417.1	85356
2021	266	3	3.6	-3.0	1.0	1.6	2	407.7	72352
2021	266	4	3.6	-3.1	1.3	0.9	3	401.4	65994
2021	266	5	3.7	-3.4	1.1	0.9	3	389.7	57161
2021	266	6	3.5	-2.9	1.0	1.4	2	391.0	71469
2021	266	7	3.5	-3.2	0.9	0.6	2	389.0	62398
2021	266	8	3.4	-3.3	0.6	-0.1	2	391.6	81939
2021	266	9	3.5	-3.3	1.0	0.3	2	375.8	68423
2021	266	10	3.3	-2.7	1.7	0.4	3	374.8	54972
2021	266	11	3.3	-3.1	1.0	-0.2	3	366.4	54418
2021	266	12	3.3	-3.0	1.2	0.2	2	358.3	42698
2021	266	13	3.6	-2.1	2.8	0.2	2	367.6	48139
2021	266	14	3.5	-1.9	2.9	-0.1	3	364.5	55115
2021	266	15	3.5	-2.2	2.6	0.3	3	363.9	53021
2021	266	16	3.8	-1.6	3.0	-1.0	3	368.1	50247
2021	266	17	3.9	-3.2	1.1	-0.9	3	347.0	63376
2021	266	18	3.6	-2.9	0.7	-1.3	4	358.1	61883
2021	266	19	3.4	-1.6	2.6	-0.1	5	369.8	57624
2021	266	20	3.3	-1.0	3.0	0.2	4	368.4	54079
2021	266	21	3.0	-0.2	1.4	1.7	6	366.7	37997
2021	266	22	3.3	-0.2	3.0	1.1	5	360.0	41364
2021	266	23	3.3	-0.2	2.7	1.7	6	354.7	45540
2021	267	0	3.4	1.3	2.5	1.6	6	350.2	34161
2021	267	1	3.5	-0.3	3.4	0.3	6	345.4	45078
2021	267	2	3.0	-0.0	2.4	1.0	7	345.9	41078
2021	267	3	2.9	-1.8	2.1	-0.0	7	341.0	43913
2021	267	4	3.0	-1.0	2.5	0.1	7	342.2	38644
2021	267	5	3.5	-0.6	2.3	2.2	8	340.7	35826
2021	267	6	3.6	-0.1	1.1	3.3	9	340.2	39284
2021	267	7	3.5	0.5	1.7	2.9	9	340.9	42332
2021	267	8	3.5	1.4	2.8	0.9	7	337.0	45602
2021	267	9	3.8	1.5	2.8	1.5	6	337.9	37857
2021	267	10	4.2	2.0	1.7	3.0	6	335.6	34955
2021	267	11	4.1	2.2	0.7	3.4	6	332.9	32554
2021	267	12	4.1	1.6	1.1	3.5	6	329.8	40035
2021	267	13	4.1	0.9	2.6	2.9	6	327.4	38865
2021	267	14	4.6	-1.2	4.2	0.4	6	323.5	39893
2021	267	15	4.2	-1.1	3.7	-1.1	6	324.0	39301
2021	267	16	4.4	-1.2	3.4	-1.6	6	325.3	40574
2021	267	17	4.5	-1.8	2.8	1.7	6	328.6	45956
2021	267	18	5.4	-2.7	4.3	0.9	9	331.5	43884
2021	267	19	7.1	-3.7	3.7	-4.2	10	346.2	59430
2021	267	20	7.5	-4.2	2.5	-5.5	11	353.6	54143
2021	267	21	7.2	-1.6	5.6	-2.4	13	354.2	48231
2021	267	22	6.5	-3.6	2.8	-3.5	15	352.2	50884
2021	267	23	7.2	-4.8	3.6	-3.7	14	350.6	51945
2021	268	0	8.1	-5.2	2.1	-5.5	16	346.1	46496
