#Year DOY hour Btot Br Bt Bn Np Vtot Tp
2022 027 0 5.3 0.6 3.7 -0.1 -9999 -9999 -9999
2022 027 1 5.5 0.2 2.7 -0.5 -9999 -9999 -9999
2022 027 2 4.8 1.7 2.8 -2.0 -9999 -9999 -9999
2022 027 3 4.0 -1.0 2.7 0.2 -9999 327 226778
2022 027 4 2.7 -0.5 0.4 -0.3 33.8 329 85700
2022 027 5 3.9 -3.1 -0.4 -1.4 18.4 328 60772
2022 027 6 4.0 -3.1 -2.0 0.2 17.3 322 65576
2022 027 7 4.2 -3.5 -1.9 -0.6 16.9 320 63830
2022 027 8 4.5 -4.1 -1.4 0.6 16.9 318 71791
2022 027 9 4.4 -4.1 0.8 -0.1 16.4 321 71621
2022 027 10 4.2 -2.1 3.6 -0.4 15.9 326 47845
2022 027 11 4.1 -2.4 3.2 -0.5 17.1 327 41094
2022 027 12 3.2 0.3 -2.1 -0.2 18.4 326 25473
2022 027 13 2.1 0.4 -0.9 0.3 19.2 326 21254
2022 027 14 3.1 -0.5 3.0 0.1 17.9 324 22285
2022 027 15 3.3 0.4 3.0 -0.5 20.2 326 23993
2022 027 16 2.7 0.2 2.2 -0.0 21.3 322 23057
2022 027 17 3.3 -1.9 0.9 -1.7 21.8 325 29429
2022 027 18 4.6 0.9 -3.0 -0.1 22.7 330 36939
2022 027 19 5.9 0.0 -0.3 -3.9 25.4 333 42449
2022 027 20 5.1 0.3 4.1 -0.5 26.3 329 41626
2022 027 21 3.1 1.6 1.5 0.8 26.9 328 47895
2022 027 22 2.9 1.6 -0.9 -0.4 -9999 330 411682
2022 027 23 3.2 1.3 1.7 -0.4 26.9 327 38969
2022 028 0 3.7 2.1 2.5 -1.1 27.4 328 116887
2022 028 1 3.3 2.8 0.3 -0.5 26.5 320 41124
2022 028 2 4.3 -2.6 1.9 -0.9 27.5 321 43530
2022 028 3 6.2 -5.2 1.8 -2.0 27.2 309 48000
2022 028 4 7.5 -7.1 1.3 -1.5 29.8 302 70586
2022 028 5 8.1 -7.7 1.3 0.4 32.6 302 61704
2022 028 6 8.5 -7.8 -2.3 1.7 37.4 305 58612
2022 028 7 7.5 -5.6 -2.6 -0.9 42.7 310 64309
2022 028 8 4.8 0.9 2.1 2.3 45.6 321 43859
2022 028 9 7.7 -2.3 -2.7 6.2 37.8 311 36194
2022 028 10 6.7 -1.9 -1.2 5.6 37.8 311 35419
2022 028 11 7.5 -1.2 -4.1 5.7 34.0 310 33126
2022 028 12 7.6 -1.8 -3.8 5.4 33.0 305 29179
2022 028 13 10.2 -6.3 -4.6 6.0 28.9 297 23687
2022 028 14 10.0 -5.4 -8.1 2.1 32.9 295 23199
2022 028 15 9.7 -2.9 -7.6 1.3 33.8 298 31424
2022 028 16 12.6 4.4 10.7 1.6 19.6 317 35252
2022 028 17 11.5 4.6 10.4 -0.5 20.9 320 53301
2022 028 18 11.5 6.8 7.6 3.4 22.1 329 61005
2022 028 19 10.5 4.3 5.4 7.3 25.4 316 54235
2022 028 20 11.3 6.0 0.9 9.2 23.0 329 43204
2022 028 21 10.9 3.0 3.9 9.2 27.0 323 34391
